iter	Passed	Remaining
0	143	143027
1	144	72011
2	145	48347
3	146	36560
4	148	29459
5	149	24724
6	150	21336
7	151	18778
8	152	16790
9	153	15205
10	154	13926
11	156	12851
12	157	11949
13	158	11181
14	160	10514
15	161	9922
16	162	9400
17	163	8942
18	165	8528
19	166	8169
20	169	7882
21	170	7594
22	171	7299
23	173	7045
24	174	6801
25	175	6567
26	176	6351
27	177	6144
28	177	5956
29	178	5779
30	179	5613
31	180	5458
32	181	5310
33	182	5184
34	183	5067
35	184	4950
36	186	4864
37	188	4765
38	189	4672
39	190	4570
40	191	4469
41	191	4373
42	192	4275
43	192	4185
44	193	4100
45	193	4014
46	194	3936
47	194	3861
48	195	3789
49	195	3719
50	196	3654
51	196	3584
52	196	3518
53	197	3458
54	197	3399
55	198	3342
56	198	3287
57	199	3233
58	199	3182
59	199	3133
60	200	3085
61	200	3038
62	201	2994
63	201	2951
64	202	2909
65	202	2868
66	203	2828
67	203	2790
68	204	2752
69	204	2716
70	204	2680
71	205	2646
72	205	2613
73	206	2581
74	206	2550
75	207	2519
76	207	2489
77	208	2460
78	208	2431
79	208	2403
80	209	2375
81	209	2349
82	210	2324
83	210	2299
84	211	2274
85	211	2250
86	212	2226
87	212	2203
88	213	2180
89	213	2158
90	213	2136
91	214	2115
92	214	2094
93	215	2074
94	215	2054
95	216	2034
96	216	2013
97	216	1994
98	217	1976
99	217	1958
100	217	1939
101	218	1921
102	218	1904
103	219	1887
104	219	1871
105	219	1855
106	220	1839
107	220	1824
108	221	1809
109	221	1794
110	222	1780
111	222	1765
112	222	1749
113	223	1736
114	224	1724
115	224	1711
116	224	1698
117	225	1685
118	225	1672
119	226	1659
120	226	1646
121	226	1632
122	227	1620
123	227	1608
124	228	1596
125	228	1585
126	228	1573
127	229	1562
128	229	1551
129	230	1540
130	230	1529
131	231	1519
132	231	1509
133	231	1498
134	232	1489
135	232	1479
136	233	1469
137	233	1460
138	234	1449
139	234	1440
140	234	1431
141	235	1421
142	235	1413
143	236	1404
144	236	1395
145	237	1387
146	237	1378
147	238	1370
148	238	1362
149	238	1354
150	239	1346
151	239	1337
152	240	1329
153	240	1322
154	241	1314
155	241	1306
156	241	1299
157	242	1291
158	242	1284
159	243	1277
160	243	1269
161	244	1262
162	244	1255
163	244	1248
164	245	1241
165	245	1235
166	246	1227
167	246	1220
168	246	1214
169	247	1207
170	247	1201
171	248	1195
172	248	1188
173	249	1182
174	249	1176
175	250	1170
176	250	1164
177	250	1158
178	251	1153
179	252	1148
180	252	1142
181	253	1137
182	253	1131
183	253	1126
184	254	1120
185	254	1114
186	255	1109
187	255	1104
188	256	1099
189	256	1093
190	257	1088
191	257	1083
192	257	1078
193	258	1073
194	258	1068
195	259	1063
196	259	1058
197	260	1053
198	260	1048
199	260	1043
200	261	1039
201	261	1034
202	262	1029
203	262	1025
204	263	1020
205	263	1016
206	264	1011
207	264	1007
208	264	1002
209	265	998
210	265	993
211	266	989
212	266	985
213	267	980
214	267	976
215	267	972
216	268	968
217	268	964
218	269	960
219	269	955
220	270	951
221	270	947
222	270	943
223	271	940
224	271	936
225	272	932
226	272	928
227	273	924
228	273	920
229	273	917
230	274	913
231	274	909
232	275	905
233	275	902
234	276	898
235	276	895
236	276	891
237	277	887
238	277	883
239	278	880
240	278	876
241	278	873
242	279	871
243	280	868
244	280	864
245	281	861
246	281	858
247	281	854
248	282	851
249	282	848
250	283	845
251	283	841
252	284	838
253	284	835
254	284	832
255	285	829
256	285	826
257	286	823
258	286	819
259	287	816
260	287	813
261	287	811
262	288	808
263	288	805
264	289	802
265	289	799
266	290	796
267	290	793
268	291	791
269	291	788
270	291	785
271	292	782
272	292	779
273	293	777
274	293	774
275	294	771
276	294	769
277	295	766
278	295	763
279	295	761
280	296	758
281	296	755
282	297	752
283	297	750
284	298	747
285	298	745
286	298	742
287	299	740
288	299	737
289	300	735
290	300	732
291	301	730
292	301	727
293	302	725
294	302	722
295	302	720
296	303	718
297	303	715
298	304	713
299	304	710
300	305	708
301	305	706
302	305	703
303	306	701
304	307	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	688
310	309	686
311	310	684
312	310	682
313	311	680
314	311	677
315	312	675
316	312	673
317	312	671
318	313	669
319	313	666
320	314	664
321	314	662
322	315	660
323	315	658
324	316	656
325	316	654
326	316	652
327	317	650
328	317	648
329	318	646
330	318	644
331	319	642
332	319	640
333	319	637
334	320	635
335	321	634
336	322	633
337	323	632
338	323	631
339	324	629
340	324	627
341	325	625
342	325	623
343	325	621
344	326	619
345	326	617
346	327	615
347	327	613
348	328	611
349	328	610
350	328	608
351	329	607
352	330	605
353	330	603
354	331	602
355	331	600
356	332	598
357	332	596
358	333	594
359	333	592
360	333	591
361	334	589
362	334	587
363	335	585
364	335	584
365	336	582
366	336	580
367	337	578
368	337	577
369	337	575
370	338	573
371	338	572
372	339	570
373	339	568
374	340	567
375	340	565
376	341	563
377	341	562
378	342	560
379	342	558
380	342	557
381	343	555
382	344	554
